LGA Name,LGA status,Area of LGA (km2),LGA population,Number of NDSS type 2 diabetes registrant,People registering type 2 diabetes with NDSS,People reporting type 2 diabetes,People reporting type 2 diabetes (rank),People reporting being obese,People reporting being obese (rank),People reporting being pre-obese,People reporting being pre-obese (rank),People who do not meet dietary guidelines for either fruit or vegetable consumption,People who do not meet dietary guidelines for either fruit or vegetable consumption (rank),People who do not meet physical activity guidelines,People who do not meet physical activity guidelines (rank),People who are members of a sports group,People who are members of a sports group (rank),LGA sport and recreational facilities count
Alpine,Shire,"4,787.0",13962,620,4.4%,5.0%,35.0,13.5%,71.0,30.2%,47.0,41.9%,71.0,54.6%,37.0,32.7%,32.0,37.0
Ararat,Rural City,"4,210.0",13190,760,5.8%,3.6%,67.0,22.3%,29.0,36.6%,9.0,54.4%,13.0,52.4%,50.0,38.8%,10.0,43.0
Ballarat,City,739.0,115176,5720,5.0%,3.9%,61.0,25.8%,14.0,34.7%,24.0,44.5%,66.0,56.2%,24.0,27.8%,53.0,98.0
Banyule,City,63.0,138456,5220,3.8%,3.6%,66.0,19.8%,44.0,29.5%,54.0,49.5%,45.0,56.7%,23.0,26.2%,59.0,74.0
Bass Coast,Shire,865.0,37170,2460,6.6%,5.1%,32.0,18.7%,48.0,27.9%,65.0,49.6%,44.0,55.2%,29.0,32.9%,29.0,52.0
Baw Baw,Shire,"4,031.0",54975,2880,5.2%,4.1%,56.0,14.8%,64.0,37.9%,5.0,50.4%,40.0,50.6%,62.0,33.9%,26.0,93.0
Bayside,City,37.0,109958,3040,2.8%,2.8%,76.0,11.9%,75.0,30.4%,44.0,34.6%,77.0,46.7%,72.0,35.0%,20.0,103.0
Benalla,Rural City,"2,352.0",15725,930,5.9%,5.1%,30.0,26.9%,11.0,28.0%,64.0,50.8%,37.0,60.5%,5.0,32.5%,34.0,20.0
Boroondara,City,60.0,189394,5170,2.7%,3.2%,71.0,12.5%,73.0,24.3%,75.0,53.5%,18.0,43.7%,75.0,32.9%,30.0,88.0
Brimbank,City,123.0,220362,14970,6.8%,4.0%,59.0,19.6%,46.0,28.5%,60.0,53.5%,19.0,59.1%,7.0,20.1%,77.0,124.0
Buloke,Shire,"8,001.0",7040,460,6.5%,5.9%,20.0,21.9%,33.0,34.2%,25.0,54.5%,12.0,50.8%,59.0,50.2%,1.0,48.0
Campaspe,Shire,"4,518.0",42065,2560,6.1%,4.8%,40.0,32.3%,1.0,30.0%,51.0,60.0%,1.0,55.2%,28.0,34.4%,23.0,71.0
Cardinia,Shire,"1,282.0",106777,4740,4.4%,4.2%,54.0,24.9%,18.0,28.7%,58.0,46.4%,59.0,54.0%,45.0,27.1%,54.0,72.0
Casey,City,409.0,339406,18580,5.5%,5.8%,21.0,25.2%,15.0,29.1%,56.0,53.7%,16.0,55.0%,34.0,21.9%,74.0,106.0
Central Goldfields,Shire,"1,532.0",14737,1130,7.7%,6.1%,13.0,23.6%,22.0,25.8%,72.0,59.4%,2.0,52.0%,53.0,31.5%,38.0,36.0
Colac-Otway,Shire,"3,439.0",23766,1200,5.0%,5.0%,37.0,19.9%,42.0,35.3%,21.0,52.2%,30.0,53.7%,46.0,38.1%,14.0,60.0
Corangamite,Shire,"4,408.0",18225,970,5.3%,4.4%,47.0,27.5%,9.0,36.6%,11.0,52.4%,27.0,58.4%,11.0,42.2%,6.0,54.0
Darebin,City,53.0,166736,7380,4.4%,6.2%,11.0,19.3%,47.0,30.1%,48.0,45.5%,62.0,58.0%,13.0,21.1%,75.0,61.0
East Gippsland,Shire,"20,937.0",51113,2980,5.8%,3.8%,63.0,22.5%,28.0,31.9%,36.0,47.7%,54.0,41.3%,78.0,29.0%,48.0,96.0
Frankston,City,130.0,152175,7490,4.9%,6.3%,9.0,19.9%,43.0,34.1%,26.0,44.1%,67.0,55.2%,31.0,28.6%,50.0,89.0
Gannawarra,Shire,"3,736.0",11963,840,7.0%,4.9%,38.0,14.8%,66.0,25.2%,73.0,50.4%,41.0,54.4%,41.0,42.6%,5.0,48.0
Glen Eira,City,39.0,160078,5510,3.4%,3.7%,65.0,14.9%,63.0,30.0%,52.0,54.8%,9.0,54.2%,42.0,25.1%,64.0,63.0
Glenelg,Shire,"6,218.0",22171,1570,7.1%,6.0%,15.0,28.6%,5.0,28.5%,59.0,51.0%,35.0,56.8%,21.0,36.1%,16.0,56.0
