Govt Area,Facility Count
Alpine,37
Ararat,43
Ballarat,98
Banyule,74
Bass Coast,52
Baw Baw,93
Bayside,103
Benalla,20
Bendigo,135
Boroondara,88
Borough Of Queenscliffe,8
Brimbank,124
Buloke,48
Campaspe,71
Cardinia,72
Casey,106
Central Goldfields,36
Colac Otway,60
Corangamite,54
Dandenong,65
Darebin,61
East Gippsland,96
Frankston,89
Gannawarra,48
Geelong,183
Glen Eira,63
Glenelg,56
Golden Plains,49
Hepburn,34
Hindmarsh,26
Hobsons Bay,77
Horsham,43
Hume,75
Indigo,31
Kingston,95
Knox,99
Latrobe,95
Loddon,46
Macedon Ranges,60
Manningham,56
Mansfield,26
Maribyrnong,48
Maroondah,56
Melbourne,52
Melton,56
Mildura,54
Mitchell,50
Moira,65
Monash,97
Moonee Valley,65
Moorabool,37
Moreland,70
Mornington Peninsula,131
Mount Alexander,55
Moyne,40
Murrindindi,50
Nillumbik,59
Northern Grampians,35
Port Phillip,36
Pyrenees,23
Shepparton,81
South Gippsland,76
Southern Grampians,47
Stonnington,70
Strathbogie,30
Surf Coast,71
Swan Hill,40
Towong,24
Wangaratta,55
Warrnambool,45
Wellington,77
West Wimmera,28
Whitehorse,78
Whittlesea,64
Wodonga,34
Wyndham,61
Yarra,109
Yarra Ranges,96
Yarriambiack,40
