,LGA Name,Facility ID
0,Alpine Shire Council,6
1,Alpine Shire Council ,31
2,Ararat Rural City Council,41
3,Ararat Rural City Council ,2
4,Ballarat City Council,98
5,Banyule City Council,74
6,Bass Coast Shire Council,52
7,Baw Baw Shire Council,93
8,Bayside City Council,103
9,Benalla Rural City Council,20
10,Bendigo City Council,135
11,Boroondara City Council,88
12,Borough of Queenscliffe,8
13,Brimbank City Council,124
14,Buloke Shire Council,48
15,Campaspe Shire Council,71
16,Cardinia Shire Council,72
17,Casey City Council,106
18,Central Goldfields Shire Council,36
19,Colac Otway Shire Council,60
20,Corangamite Shire Council,54
21,Dandenong City Council,65
22,Darebin City Council,61
23,East Gippsland Shire Council,96
24,Frankston City Council,89
25,Gannawarra Shire Council,48
26,Geelong City Council,183
27,Glen Eira City Council,63
28,Glenelg Shire Council,56
29,Golden Plains Shire Council,49
30,Hepburn Shire Council,34
31,Hindmarsh Shire Council,26
32,Hobsons Bay City Council,77
33,Horsham Rural City Council,43
34,Hume City Council,75
35,Indigo Shire Council,31
36,Kingston City Council,95
37,Knox City Council,99
38,LaTrobe City Council,83
39,Latrobe City Council,12
40,Loddon Shire Council,46
41,Macedon Ranges Shire Council,59
42,Macedon Ranges Shire Council ,1
43,Manningham City Council,56
44,Mansfield Shire Council,26
45,Maribyrnong City Council,48
46,Maroondah City Council,56
47,Melbourne City Council,52
48,Melton Shire Council,56
49,Mildura Rural City Council,54
50,Mitchell Shire Council,50
51,Moira Shire Council,65
52,Monash City Council,5
53,Monash City Council ,90
54,Monash City council,2
55,Moonee Valley City Council,65
56,Moorabool Shire Council,37
57,Moreland City Council,70
58,Mornington Peninsula Shire Council,112
59,Mount Alexander Shire Council,55
60,Moyne Shire Council,40
61,Murrindindi Shire Council,50
62,Nillumbik Shire Council,59
63,Northern Grampians Shire Council,35
64,Port Phillip City Council,11
65,Port Phillip City Council ,25
66,Pyrenees Shire Council,23
67,Shepparton City Council,81
68,South Gippsland Shire Council,31
69,South Gippsland Shire Council ,45
70,Southern Grampians Shire Council,6
71,Southern Grampians Shire Council ,41
72,Stonnington City Council,70
73,Strathbogie Shire Council,30
74,Surf Coast Shire Council,71
75,Swan Hill Rural City Council,40
76,Towong shire Council,24
77,Wangaratta Rural City Council,55
78,Warrnambool City Council,19
79,Warrnambool City Council ,26
80,Wellington Shire Council,77
81,West Wimmera Shire Council,28
82,Whitehorse City Council,78
83,Whittlesea City Council,64
84,Wodonga City Council,34
85,Wyndham City Council,61
86,Yarra City Council,109
87,Yarra Ranges Shire Council,96
88,Yarriambiack Shire Council,40
89,mornington Peninsula Shire Council,19
