,LGA Name,Facility ID,Facility Name
0,,MITCHE3674,Vermont South Club
1,Alpine Shire Council,ALPINE5519,Pioneer Park Recreation Reserve
2,Alpine Shire Council ,ALPINE10930,Mount Beauty Pool & Stadium
3,Alpine Shire Council ,ALPINE10928,Mount Beauty recreation Reserve
4,Alpine Shire Council ,ALPINE10924,Dederang Recreation reserve
5,Alpine Shire Council ,ALPINE10932,RC McNamara Reserve
6,Alpine Shire Council ,ALPINE10942,Porepunkah Recreation Reserve
7,Alpine Shire Council ,ALPINE10919,Bright Community Sports Stadium
8,Alpine Shire Council ,ALPINE10941,Myrtleford Indoor Sports Complex
9,Alpine Shire Council ,ALPINE10934,Myrtleford Savoy Sports Club
10,Alpine Shire Council ,ALPINE10944,Alpine Park Wandiligong
11,Alpine Shire Council ,ALPINE10918,Bright p-12 College
12,Alpine Shire Council ,ALPINE10925,Gapsted Recreation reserve
13,Alpine Shire Council ,ALPINE10927,Harrietville Recreation reserve
14,Alpine Shire Council ,ALPINE10937,Marian College
15,Alpine Shire Council ,ALPINE10935,Memorial Park
16,Alpine Shire Council ,ALPINE10938,Mummery Road Oval
17,Alpine Shire Council,ALPINE5428,Big Hill MTB Park
18,Alpine Shire Council,ALPINE11307,Myrtleford Recreation Reserve
19,Alpine Shire Council ,ALPINE10920,Bright Sports Centre
20,Alpine Shire Council ,ALPINE10921,Bright Golf Club
21,Alpine Shire Council ,ALPINE10922,Dederang Golf Course
22,Alpine Shire Council ,ALPINE10929,Mount Beauty Golf Club
23,Alpine Shire Council ,ALPINE10933,Myrtleford Golf Course
24,Alpine Shire Council ,ALPINE11452,Bright Community Stadium
25,Alpine Shire Council ,ALPINE11495,Mt Beauty Community Stadium
26,Alpine Shire Council ,ALPINE10917,Bright Bowls Club
27,Alpine Shire Council ,ALPINE10923,Dederang Bowls Club
28,Alpine Shire Council,ALPINE4257,Myrtleford Bowls Club
29,Alpine Shire Council ,ALPINE10943,Tawonga Bowls Club
30,Alpine Shire Council,ALPINE11260,Alpine Motocycle Club
31,Alpine Shire Council,ALPINE11277,Myrtleford Motocycle Club
32,Alpine Shire Council ,ALPINE10939,Myrtleford Race Track
33,Alpine Shire Council ,ALPINE10916,Bright Skate Park (lions Park)
34,Alpine Shire Council ,ALPINE10940,Cundy Park
35,Alpine Shire Council ,ALPINE10931,Lakeside Football Reserve
36,Alpine Shire Council ,ALPINE10936,Jubilee Park & Swimming Pool
37,Alpine Shire Council ,ALPINE10926,Gundowring Recreation reserve
38,Ararat Rural City Council,ARARAT12872,Gordon Street Recreation Reserve
39,Ararat Rural City Council,ARARAT12868,Alexandra Oval Reserve
40,Ararat Rural City Council,ARARAT12882,Lake Bolac Recreation Reserve
41,Ararat Rural City Council,ARARAT12884,Maroona Recreation Reserve
42,Ararat Rural City Council,ARARAT12885,Mininera Recreation Reserve
43,Ararat Rural City Council,ARARAT12886,Moyston Recreation Reserve
44,Ararat Rural City Council,ARARAT12889,Tatyoon Recreation Reserve
45,Ararat Rural City Council,ARARAT12894,Willaura Recreation Reserve
46,Ararat Rural City Council,ARARAT12865,Alexandra Hall
47,Ararat Rural City Council,ARARAT12871,Ararat Rural City Recreation and Aquatics Centre
48,Ararat Rural City Council,ARARAT12875,Aradale Cricket Ground
49,Ararat Rural City Council,ARARAT12876,Buangor Recreation Reserve
50,Ararat Rural City Council,ARARAT12879,Elmhurst Recreation Reserve
51,Ararat Rural City Council,ARARAT12887,Pomonal Recreation Reserve
52,Ararat Rural City Council,ARARAT12862,Richardson Oval
53,Ararat Rural City Council,ARARAT12891,Wickliffe Recreation Reserve
54,Ararat Rural City Council,ARARAT12864,Alexandra Croquet Club
55,Ararat Rural City Council,ARARAT5315,Ararat to Cowlands
56,Ararat Rural City Council,ARARAT5316,Ararat to Elmherst
57,Ararat Rural City Council,ARARAT5317,Armstrong Circuit
58,Ararat Rural City Council,ARARAT5130,David Blackie Velodrome
59,Ararat Rural City Council,ARARAT5318,One Tree Hill
60,Ararat Rural City Council,ARARAT5320,Tatyoon Circuit
61,Ararat Rural City Council ,ARARAT11308,Ararat Pony Club Grounds
62,Ararat Rural City Council,ARARAT12873,Aradale Golf Course
63,Ararat Rural City Council,ARARAT12863,Chalambar Bowls & Golf Club
64,Ararat Rural City Council,ARARAT12878,Elmhurst Golf Club
65,Ararat Rural City Council,ARARAT12883,Lake Bolac Golf Club
66,Ararat Rural City Council,ARARAT12888,Streatham Golf Club
67,Ararat Rural City Council,ARARAT12895,Willaura Golf Club
68,Ararat Rural City Council,ARARAT12874,Aradale Bowls Club
69,Ararat Rural City Council,ARARAT12866,Ararat Bowls
70,Ararat Rural City Council,ARARAT12870,Ararat VRI Bowls Club
71,Ararat Rural City Council,ARARAT12880,Lake Bolac & District Bowling Club
72,Ararat Rural City Council,ARARAT12892,Willaura Bowls Club
73,Ararat Rural City Council ,ARARAT11261,Ararat Motocycle Club
74,Ararat Rural City Council,ARARAT11173,Ararat Pistol Club
75,Ararat Rural City Council,ARARAT12867,Ararat Solar Olympic Swimming Pool
76,Ararat Rural City Council,ARARAT12881,Lake Bolac Swimming Pool
77,Ararat Rural City Council,ARARAT12893,Willaura Swimming Pool
78,Ararat Rural City Council,ARARAT12869,Ararat City Lawn Tennis
79,Ararat Rural City Council,ARARAT12877,Cathcart Tennis Club
80,Ararat Rural City Council,ARARAT12890,Warrak Recreation Reserve
81,Ballarat City Council,BALLAR12511,Ballarat Regional Soccer Facility Ballarat Regional Soccer Facility (Morshead Park Stadium)
82,Ballarat City Council,BALLAR12497,Eastern Oval
83,Ballarat City Council,BALLAR12461,Anytime Fitness Ballarat
84,Ballarat City Council,BALLAR12462,Anytime Fitness Mount Clear
85,Ballarat City Council,BALLAR12538,Ballarat Squash and Raquetball
86,Ballarat City Council,BALLAR5487,Contours Wendouree
87,Ballarat City Council,BALLAR12491,Countours Wendouree
88,Ballarat City Council,BALLAR12492,CrossFit Ballarat
89,Ballarat City Council,BALLAR12493,Curves Sebastopol
90,Ballarat City Council,BALLAR12494,Curves Wendouree
91,Ballarat City Council,BALLAR12501,Fernwood Ballarat
92,Ballarat City Council,BALLAR12516,O'Briens Kickboxing & Boxing Gym
93,Ballarat City Council,BALLAR12517,On Track Personal Fitness
94,Ballarat City Council,BALLAR12525,Spartans Gym and Supplements
95,Ballarat City Council,BALLAR12527,Tennis Ballarat
96,Ballarat City Council,BALLAR12530,UniSports
97,Ballarat City Council,BALLAR12519,Prince of Wales Park
98,Ballarat City Council,BALLAR12479,Brown Hill Recreation Reserve
99,Ballarat City Council,BALLAR12486,C E Brown Recreation Reserve
100,Ballarat City Council,BALLAR12507,Llanberris Reserve
101,Ballarat City Council,BALLAR12533,University of Ballarat Oval
102,Ballarat City Council,BALLAR12460,Alfredton Recreation Reserve
103,Ballarat City Council,BALLAR12467,Ballarat Grammar Oval 2
104,Ballarat City Council,BALLAR12472,Ballarat Secondary College - East Campus
105,Ballarat City Council,BALLAR12473,Ballarat Secondary College - Wendouree Campus
106,Ballarat City Council,BALLAR12484,Buninyong Recreation Reserve
107,Ballarat City Council,BALLAR12489,City Oval
108,Ballarat City Council,BALLAR12495,Doug Dean Recreation Reserve 
109,Ballarat City Council,BALLAR12499,Eureka Stadium
110,Ballarat City Council,BALLAR12505,Learmonth Recreation Reserve
111,Ballarat City Council,BALLAR12509,Marty Busch Recreation Reserve
112,Ballarat City Council,BALLAR12512,Mount Clear Recreation Reserve
113,Ballarat City Council,BALLAR12514,Mount Pleasant Reserve
114,Ballarat City Council,BALLAR12520,Russell Square
115,Ballarat City Council,BALLAR12541,Western Oval
116,Ballarat City Council,BALLAR12542,White Flat
117,Ballarat City Council,BALLAR12468,Ballarat Ken Kay Badminton Stadium
118,Ballarat City Council,BALLAR12496,East Ballarat Recreation Centre
119,Ballarat City Council,BALLAR12498,Eastwood Leisure Complex
120,Ballarat City Council,BALLAR12543,MARS Minerdome
121,Ballarat City Council,BALLAR12537,Wendouree Sports & Events Centre 
122,Ballarat City Council,BALLAR12508,Major League Indoor Sports Centre
